;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 11-05-2021 01:58:49 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00BEFEE  	GOTO        6108
_interrupt:
;test_joystick2.c,41 :: 		void interrupt()
0x0008	0xF01EC000  	MOVFF       R0, 30
0x000C	0xF01DC001  	MOVFF       R1, 29
0x0010	0xF01CC002  	MOVFF       R2, 28
0x0014	0xF01BC003  	MOVFF       R3, 27
0x0018	0xF01AC004  	MOVFF       R4, 26
0x001C	0xF019C005  	MOVFF       R5, 25
0x0020	0xF018C008  	MOVFF       R8, 24
0x0024	0xF017C009  	MOVFF       R9, 23
0x0028	0xF016C00A  	MOVFF       R10, 22
0x002C	0xF015C00B  	MOVFF       R11, 21
;test_joystick2.c,43 :: 		USB_Interrupt_Proc();        // USB servicing inside the interrupt
0x0030	0xF027CFE1  	MOVFF       FSR1L, 39
0x0034	0xF028CFE2  	MOVFF       FSR1H, 40
0x0038	0xF025CFE9  	MOVFF       FSR0L, 37
0x003C	0xF026CFEA  	MOVFF       FSR0H, 38
0x0040	0xF023CFF3  	MOVFF       PROD, 35
0x0044	0xF024CFF4  	MOVFF       PRODH, 36
0x0048	0xF022CFF5  	MOVFF       TABLAT, 34
0x004C	0xF01FCFF8  	MOVFF       TBLPTRU, 31
0x0050	0xF020CFF7  	MOVFF       TBLPTRH, 32
0x0054	0xF021CFF6  	MOVFF       TBLPTR, 33
0x0058	0xF00AEC86  	CALL        _USB_Interrupt_Proc, 0
;test_joystick2.c,44 :: 		}
L_end_interrupt:
L__interrupt50:
0x005C	0xFFF5C022  	MOVFF       34, TABLAT
0x0060	0xFFF8C01F  	MOVFF       31, TBLPTRU
0x0064	0xFFF7C020  	MOVFF       32, TBLPTRH
0x0068	0xFFF6C021  	MOVFF       33, TBLPTR
0x006C	0xFFF3C023  	MOVFF       35, PROD
0x0070	0xFFF4C024  	MOVFF       36, PRODH
0x0074	0xF000C01E  	MOVFF       30, R0
0x0078	0xF001C01D  	MOVFF       29, R1
0x007C	0xF002C01C  	MOVFF       28, R2
0x0080	0xF003C01B  	MOVFF       27, R3
0x0084	0xF004C01A  	MOVFF       26, R4
0x0088	0xF005C019  	MOVFF       25, R5
0x008C	0xF008C018  	MOVFF       24, R8
0x0090	0xF009C017  	MOVFF       23, R9
0x0094	0xF00AC016  	MOVFF       22, R10
0x0098	0xF00BC015  	MOVFF       21, R11
0x009C	0xFFE9C025  	MOVFF       37, FSR0L
0x00A0	0xFFEAC026  	MOVFF       38, FSR0H
0x00A4	0xFFE1C027  	MOVFF       39, FSR1L
0x00A8	0xFFE2C028  	MOVFF       40, FSR1H
0x00AC	0x0011      	RETFIE      1
; end of _interrupt
__Lib_USB_genHID_USB_CB_Init_EP:
;__Lib_USB_genHID.c,4490 :: 		
;__Lib_USB_genHID.c,4491 :: 		
0x00AE	0x0E1E      	MOVLW       30
0x00B0	0x6E71      	MOVWF       UEP1 
;__Lib_USB_genHID.c,4493 :: 		
0x00B2	0x0E10      	MOVLW       __Lib_USB_genHID_BDT+16
0x00B4	0x6E43      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+2 
0x00B6	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+16)
0x00B8	0x6E44      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+3 
;__Lib_USB_genHID.c,4494 :: 		
0x00BA	0xFFE1C043  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x00BE	0xFFE2C044  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x00C2	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4495 :: 		
0x00C4	0xFFE1C043  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x00C8	0xFFE2C044  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x00CC	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4496 :: 		
0x00CE	0x0E04      	MOVLW       4
0x00D0	0x2443      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0 
0x00D2	0x6EE1      	MOVWF       FSR1L 
0x00D4	0x0E00      	MOVLW       0
0x00D6	0x2044      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0 
0x00D8	0x6EE2      	MOVWF       FSR1L+1 
0x00DA	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4498 :: 		
0x00DC	0x0E18      	MOVLW       __Lib_USB_genHID_BDT+24
0x00DE	0x6E36      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+2 
0x00E0	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+24)
0x00E2	0x6E37      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+3 
;__Lib_USB_genHID.c,4499 :: 		
0x00E4	0xFFE1C036  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x00E8	0xFFE2C037  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x00EC	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4500 :: 		
0x00EE	0xFFE1C036  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x00F2	0xFFE2C037  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x00F6	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4501 :: 		
0x00F8	0x0E04      	MOVLW       4
0x00FA	0x2436      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 0 
0x00FC	0x6EE1      	MOVWF       FSR1L 
0x00FE	0x0E00      	MOVLW       0
0x0100	0x2037      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+3, 0 
0x0102	0x6EE2      	MOVWF       FSR1L+1 
0x0104	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4503 :: 		
0x0106	0x0E02      	MOVLW       2
0x0108	0x2443      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0 
0x010A	0x6EE1      	MOVWF       FSR1L 
0x010C	0x0E00      	MOVLW       0
0x010E	0x2044      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0 
0x0110	0x6EE2      	MOVWF       FSR1L+1 
0x0112	0xFFE6C045  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer, POSTINC1
0x0116	0xFFE6C046  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer+1, POSTINC1
;__Lib_USB_genHID.c,4504 :: 		
0x011A	0x0E01      	MOVLW       1
0x011C	0x2443      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0 
0x011E	0x6EE1      	MOVWF       FSR1L 
0x0120	0x0E00      	MOVLW       0
